Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW 3 серия 2.5 AT, 2011, 197 000 км",3-Series,2011,2.5,бензин,задний,218,197000,,1080000,https://www.avito.ru/ramenskoe/avtomobili/bmw_3_seriya_2.5_at_2011_197_000_km_4622471520?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X6 3.0 AT, 2020, 85 000 км",X6,2020,3.0,дизель,полный,249,85000,,7979000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2020_85_000_km_4972187118?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW M4 3.0 AT, 2021, 61 000 км",M4,2021,3.0,бензин,задний,510,61000,,8890000,https://www.avito.ru/moskva/avtomobili/bmw_m4_3.0_at_2021_61_000_km_4696482655?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 6 серия 3.0 AT, 2011, 249 000 км",6-Series,2011,3.0,бензин,задний,320,249000,,1899999,https://www.avito.ru/moskva/avtomobili/bmw_6_seriya_3.0_at_2011_249_000_km_4373702923?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X5 3.0 AT, 2021, 49 000 км",X5,2021,3.0,дизель,полный,249,49000,,6880000,https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_3.0_at_2021_49_000_km_4554497364?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X5 3.0 AT, 2015, 169 900 км",X5,2015,3.0,дизель,полный,313,169900,,4190000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_3.0_at_2015_169_900_km_7258743426?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 2.0 AT, 2019, 49 000 км",3-Series,2019,2.0,бензин,задний,258,49000,,3300000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_49_000_km_4589708603?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 2.0 AT, 2019, 93 000 км",3-Series,2019,2.0,дизель,задний,190,93000,,3275000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_93_000_km_4669263553?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 2.0 AT, 2013, 106 000 км",3-Series,2013,2.0,бензин,полный,245,106000,,2150000,https://www.avito.ru/saratov/avtomobili/bmw_3_seriya_2.0_at_2013_106_000_km_5026285735?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X5 3.0 AT, 2016, 95 807 км",X5,2016,3.0,дизель,полный,381,95807,,4790000,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2016_95_807_km_7244116876?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2023, 29 000 км",5-Series,2023,2.0,дизель,полный,190,29000,,5400000,https://www.avito.ru/himki/avtomobili/bmw_5_seriya_2.0_at_2023_29_000_km_4566042101?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 1.5 AT, 2018, 139 326 км",3-Series,2018,1.5,бензин,задний,136,139326,,1700000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_1.5_at_2018_139_326_km_4763212223?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X6 3.0 AT, 2011, 198 000 км",X6,2011,3.0,бензин,полный,306,198000,,1560000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x6_3.0_at_2011_198_000_km_4720084751?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 7 серия 3.0 AT, 2014, 210 000 км",7-Series,2014,3.0,бензин,полный,320,210000,,2450000,https://www.avito.ru/eysk/avtomobili/bmw_7_seriya_3.0_at_2014_210_000_km_7259057259?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
